respid,Weight,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22
22,1,b26-35,bfemale,b30000005999999,hkyushu,enever,jnoresponse,drarely,bkoicha,dhealthbenefits,atasteflavor,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,bglobal,cjapanese,cbot,atop,cbot
23,1,d46-55,amale,fprefernottosay,ckanto,adaily,clatte,drarely,didontdrinkcoffee,atasteflavor,bprice,bathome,aatcafe,fnoresponse,fnoresponse,drarely,dtotryanewdrink,aqualityofdrinks,eunsure,cjapanese,cbot,bmid,bmid
24,1,e56-65,amale,e12000000more,ckanto,adaily,bdrip,drarely,ausucha,cenergyboost,froutineritual,bathome,fnoresponse,fnoresponse,fnoresponse,enever,gnoresponse,fnoresponse,dno,cjapanese,bmid,atop,cbot
25,1,c36-45,bfemale,e12000000more,ckanto,adaily,clatte,drarely,cmatchalatte,atasteflavor,froutineritual,bathome,aatcafe,fnoresponse,fnoresponse,bseveraltimesaweek,btomeetfriends,batmosphere,awestern,cjapanese,bmid,atop,bmid
26,1,a18-25,bfemale,aunder3000000,ckanto,drarely,clatte,drarely,cmatchalatte,atasteflavor,bprice,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,awestern,cjapanese,bmid,bmid,bmid
27,1,c36-45,bfemale,aunder3000000,ckanto,adaily,bdrip,enever,fnoresponse,cenergyboost,atasteflavor,aatcafe,bathome,cconveniencestore,dvendingmachines,bseveraltimesaweek,ctostudywork,batmosphere,awestern,cjapanese,atop,atop,atop
28,1,d46-55,bfemale,b30000005999999,ckanto,adaily,apourover,drarely,cmatchalatte,llongresponse,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,ctostudywork,batmosphere,bglobal,cjapanese,atop,atop,atop
29,1,e56-65,amale,b30000005999999,ckanto,adaily,clatte,drarely,ausucha,froutineritual,llongresponse,aatcafe,bathome,fnoresponse,fnoresponse,drarely,btomeetfriends,aqualityofdrinks,bglobal,cjapanese,atop,atop,bmid
30,1,d46-55,amale,e12000000more,ckanto,bseveraltimesaweek,bdrip,drarely,didontdrinkcoffee,atasteflavor,knoresponse,eother,fnoresponse,fnoresponse,fnoresponse,enever,gnoresponse,batmosphere,dno,cjapanese,atop,atop,atop
31,1,f65more,bfemale,fprefernottosay,dchubu,adaily,bdrip,drarely,didontdrinkcoffee,cenergyboost,froutineritual,dvendingmachines,bathome,aatcafe,fnoresponse,enever,atorelax,batmosphere,awestern,cjapanese,atop,atop,atop
32,1,b26-35,amale,fprefernottosay,ekansai,bseveraltimesaweek,gcoldbrew,conceaweek,cmatchalatte,atasteflavor,esocialatmosphere,fnoresponse,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,aqualityofdrinks,bglobal,cjapanese,bmid,bmid,bmid
33,1,c36-45,bfemale,c60000008999999,ckanto,adaily,damericano,enever,fnoresponse,bprice,gbrandingimagery,aatcafe,bathome,eother,fnoresponse,bseveraltimesaweek,btomeetfriends,batmosphere,bglobal,cjapanese,atop,cbot,atop
34,1,c36-45,bfemale,b30000005999999,ckanto,drarely,clatte,enever,fnoresponse,cenergyboost,atasteflavor,aatcafe,fnoresponse,fnoresponse,fnoresponse,enever,btomeetfriends,aqualityofdrinks,bglobal,cjapanese,bmid,atop,atop
35,1,b26-35,amale,e12000000more,ckanto,bseveraltimesaweek,bdrip,enever,fnoresponse,cenergyboost,atasteflavor,aatcafe,bathome,cconveniencestore,dvendingmachines,bseveraltimesaweek,ctostudywork,batmosphere,awestern,cjapanese,bmid,bmid,bmid
36,1,b26-35,bfemale,c60000008999999,ekansai,bseveraltimesaweek,bdrip,drarely,cmatchalatte,atasteflavor,itotrynewthings,aatcafe,bathome,fnoresponse,fnoresponse,drarely,dtotryanewdrink,aqualityofdrinks,dno,cjapanese,atop,cbot,atop
37,1,e56-65,amale,fprefernottosay,ekansai,adaily,bdrip,conceaweek,cmatchalatte,llongresponse,knoresponse,aatcafe,bathome,fnoresponse,fnoresponse,conceaweek,btomeetfriends,aqualityofdrinks,dno,dno,atop,cbot,atop
38,1,b26-35,amale,b30000005999999,ckanto,adaily,bdrip,drarely,cmatchalatte,cenergyboost,bprice,aatcafe,bathome,fnoresponse,fnoresponse,conceaweek,ctostudywork,batmosphere,bglobal,bglobal,cbot,cbot,bmid
39,1,a18-25,amale,aunder3000000,dchubu,adaily,apourover,drarely,cmatchalatte,jother,knoresponse,bathome,aatcafe,fnoresponse,fnoresponse,drarely,btomeetfriends,aqualityofdrinks,dno,cjapanese,bmid,bmid,bmid
40,1,a18-25,amale,fprefernottosay,ckanto,drarely,jnoresponse,conceaweek,cmatchalatte,atasteflavor,esocialatmosphere,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,bglobal,cjapanese,bmid,cbot,cbot
41,1,b26-35,amale,b30000005999999,ckanto,adaily,apourover,drarely,ausucha,atasteflavor,llongresponse,bathome,cconveniencestore,dvendingmachines,fnoresponse,enever,btomeetfriends,batmosphere,bglobal,cjapanese,bmid,cbot,bmid
42,1,b26-35,amale,aunder3000000,ckanto,bseveraltimesaweek,clatte,bseveraltimesaweek,cmatchalatte,atasteflavor,froutineritual,bathome,aatcafe,fnoresponse,fnoresponse,bseveraltimesaweek,btomeetfriends,batmosphere,bglobal,cjapanese,bmid,bmid,bmid
43,1,b26-35,bfemale,b30000005999999,ckanto,adaily,bdrip,bseveraltimesaweek,bkoicha,cenergyboost,hsocialnormas,bathome,dvendingmachines,cconveniencestore,fnoresponse,drarely,btomeetfriends,batmosphere,awestern,cjapanese,bmid,atop,cbot
44,1,c36-45,amale,d900000011999999,ckanto,adaily,bdrip,drarely,ausucha,atasteflavor,bprice,aatcafe,bathome,cconveniencestore,fnoresponse,conceaweek,atorelax,batmosphere,bglobal,cjapanese,cbot,cbot,bmid
45,1,c36-45,amale,c60000008999999,ckanto,adaily,clatte,drarely,fnoresponse,llongresponse,knoresponse,dvendingmachines,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,batmosphere,bglobal,cjapanese,cbot,atop,bmid
46,1,c36-45,bfemale,e12000000more,ckanto,drarely,clatte,drarely,cmatchalatte,atasteflavor,cenergyboost,aatcafe,eother,fnoresponse,fnoresponse,conceaweek,atorelax,batmosphere,dno,cjapanese,atop,atop,atop
47,1,a18-25,amale,e12000000more,ckanto,enever,jnoresponse,drarely,ausucha,atasteflavor,dhealthbenefits,dvendingmachines,cconveniencestore,fnoresponse,fnoresponse,enever,btomeetfriends,aqualityofdrinks,awestern,cjapanese,cbot,bmid,bmid
48,1,b26-35,bfemale,aunder3000000,ckanto,bseveraltimesaweek,bdrip,bseveraltimesaweek,ausucha,bprice,atasteflavor,bathome,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,btomeetfriends,batmosphere,awestern,cjapanese,cbot,bmid,bmid
49,1,a18-25,amale,c60000008999999,ckanto,adaily,bdrip,adaily,bkoicha,atasteflavor,cenergyboost,aatcafe,bathome,fnoresponse,fnoresponse,bseveraltimesaweek,dtotryanewdrink,aqualityofdrinks,bglobal,cjapanese,cbot,cbot,cbot
50,1,c36-45,amale,fprefernottosay,ckanto,adaily,apourover,bseveraltimesaweek,ausucha,atasteflavor,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,fother,eother,bglobal,bglobal,atop,atop,atop
51,1,a18-25,bfemale,fprefernottosay,ckanto,adaily,bdrip,bseveraltimesaweek,cmatchalatte,atasteflavor,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,atorelax,aqualityofdrinks,awestern,cjapanese,atop,atop,bmid
52,1,a18-25,bfemale,b30000005999999,ckanto,bseveraltimesaweek,clatte,bseveraltimesaweek,cmatchalatte,atasteflavor,knoresponse,aatcafe,bathome,fnoresponse,fnoresponse,drarely,dtotryanewdrink,batmosphere,eunsure,cjapanese,cbot,cbot,bmid
53,1,a18-25,bfemale,b30000005999999,ckanto,adaily,apourover,conceaweek,cmatchalatte,atasteflavor,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,cservice,bglobal,cjapanese,cbot,cbot,bmid
54,1,b26-35,bfemale,aunder3000000,ckanto,bseveraltimesaweek,clatte,drarely,bkoicha,atasteflavor,knoresponse,aatcafe,cconveniencestore,fnoresponse,fnoresponse,enever,ctostudywork,batmosphere,awestern,cjapanese,atop,atop,bmid
55,1,a18-25,bfemale,aunder3000000,dchubu,adaily,clatte,drarely,cmatchalatte,atasteflavor,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,conceaweek,ctostudywork,batmosphere,bglobal,cjapanese,cbot,bmid,bmid
56,1,a18-25,amale,b30000005999999,ckanto,adaily,apourover,drarely,cmatchalatte,jother,knoresponse,aatcafe,bathome,fnoresponse,fnoresponse,bseveraltimesaweek,eoutofhabit,aqualityofdrinks,bglobal,cjapanese,bmid,bmid,atop
57,1,f65more,amale,b30000005999999,ckanto,adaily,bdrip,adaily,ausucha,atasteflavor,dhealthbenefits,bathome,dvendingmachines,fnoresponse,fnoresponse,drarely,eoutofhabit,cservice,bglobal,cjapanese,atop,atop,bmid
58,1,e56-65,amale,e12000000more,ekansai,adaily,bdrip,drarely,didontdrinkcoffee,froutineritual,atasteflavor,bathome,eother,fnoresponse,fnoresponse,enever,atorelax,batmosphere,awestern,cjapanese,bmid,bmid,cbot
59,1,d46-55,bfemale,e12000000more,ckanto,adaily,bdrip,drarely,ausucha,cenergyboost,atasteflavor,fnoresponse,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,aqualityofdrinks,dno,cjapanese,bmid,atop,bmid
60,1,c36-45,bfemale,e12000000more,ckanto,conceaweek,clatte,drarely,didontdrinkcoffee,froutineritual,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,conceaweek,atorelax,aqualityofdrinks,awestern,cjapanese,cbot,atop,cbot
61,1,a18-25,bfemale,aunder3000000,dchubu,adaily,apourover,bseveraltimesaweek,cmatchalatte,jother,froutineritual,fnoresponse,fnoresponse,fnoresponse,fnoresponse,drarely,dtotryanewdrink,batmosphere,bglobal,cjapanese,bmid,cbot,bmid
62,1,b26-35,bfemale,aunder3000000,ekansai,enever,jnoresponse,bseveraltimesaweek,ausucha,esocialatmosphere,atasteflavor,eother,fnoresponse,fnoresponse,fnoresponse,drarely,atorelax,batmosphere,bglobal,cjapanese,bmid,atop,atop
63,1,b26-35,amale,b30000005999999,ekansai,conceaweek,bdrip,adaily,ausucha,froutineritual,atasteflavor,eother,bathome,fnoresponse,fnoresponse,conceaweek,atorelax,cservice,bglobal,bglobal,atop,atop,bmid
64,1,b26-35,amale,b30000005999999,hkyushu,adaily,bdrip,drarely,bkoicha,atasteflavor,knoresponse,bathome,aatcafe,cconveniencestore,dvendingmachines,drarely,atorelax,aqualityofdrinks,bglobal,cjapanese,atop,atop,atop
65,1,f65more,amale,e12000000more,ckanto,conceaweek,fflavored,conceaweek,bkoicha,dhealthbenefits,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,enever,atorelax,batmosphere,dno,cjapanese,bmid,atop,bmid
66,1,b26-35,bfemale,c60000008999999,ckanto,adaily,bdrip,drarely,cmatchalatte,froutineritual,atasteflavor,bathome,cconveniencestore,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,dno,dno,atop,cbot,bmid
67,1,e56-65,amale,c60000008999999,ckanto,adaily,bdrip,drarely,cmatchalatte,atasteflavor,hsocialnormas,cconveniencestore,eother,fnoresponse,fnoresponse,drarely,ctostudywork,batmosphere,awestern,cjapanese,atop,atop,cbot
68,1,d46-55,amale,d900000011999999,ckanto,adaily,bdrip,drarely,cmatchalatte,atasteflavor,bprice,aatcafe,bathome,cconveniencestore,dvendingmachines,drarely,ctostudywork,batmosphere,bglobal,cjapanese,atop,atop,bmid
69,1,d46-55,amale,d900000011999999,ckanto,adaily,iother,drarely,ausucha,jother,atasteflavor,aatcafe,bathome,cconveniencestore,dvendingmachines,drarely,atorelax,batmosphere,awestern,cjapanese,atop,atop,bmid
70,1,a18-25,amale,b30000005999999,ekansai,adaily,damericano,drarely,didontdrinkcoffee,atasteflavor,froutineritual,aatcafe,bathome,cconveniencestore,fnoresponse,bseveraltimesaweek,eoutofhabit,batmosphere,bglobal,cjapanese,atop,cbot,atop
71,1,f65more,amale,b30000005999999,ekansai,drarely,clatte,drarely,didontdrinkcoffee,froutineritual,knoresponse,fnoresponse,fnoresponse,fnoresponse,fnoresponse,enever,btomeetfriends,aqualityofdrinks,dno,cjapanese,atop,atop,atop
72,1,d46-55,dprefernottosay,fprefernottosay,ckanto,adaily,bdrip,drarely,didontdrinkcoffee,atasteflavor,froutineritual,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,atorelax,batmosphere,awestern,cjapanese,cbot,bmid,cbot
73,1,a18-25,bfemale,b30000005999999,ekansai,bseveraltimesaweek,bdrip,drarely,cmatchalatte,atasteflavor,gbrandingimagery,aatcafe,fnoresponse,fnoresponse,fnoresponse,conceaweek,atorelax,batmosphere,bglobal,cjapanese,bmid,cbot,cbot
74,1,f65more,amale,fprefernottosay,ckanto,adaily,iother,drarely,didontdrinkcoffee,atasteflavor,esocialatmosphere,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,eunsure,eunsure,atop,atop,atop
75,1,a18-25,bfemale,fprefernottosay,ekansai,bseveraltimesaweek,bdrip,bseveraltimesaweek,ausucha,atasteflavor,froutineritual,fnoresponse,fnoresponse,fnoresponse,fnoresponse,drarely,atorelax,batmosphere,bglobal,cjapanese,atop,atop,bmid
76,1,c36-45,bfemale,b30000005999999,ekansai,adaily,bdrip,drarely,didontdrinkcoffee,atasteflavor,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,adaily,atorelax,batmosphere,bglobal,cjapanese,atop,cbot,bmid
77,1,d46-55,bfemale,b30000005999999,ekansai,bseveraltimesaweek,clatte,drarely,cmatchalatte,froutineritual,atasteflavor,bathome,aatcafe,fnoresponse,fnoresponse,drarely,btomeetfriends,aqualityofdrinks,dno,cjapanese,atop,atop,bmid
78,1,b26-35,bfemale,aunder3000000,ekansai,adaily,apourover,enever,fnoresponse,atasteflavor,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,eoutofhabit,batmosphere,bglobal,cjapanese,bmid,cbot,bmid
79,1,e56-65,amale,d900000011999999,ahokkaido,adaily,bdrip,adaily,ausucha,esocialatmosphere,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,adaily,atorelax,batmosphere,awestern,cjapanese,atop,atop,atop
80,1,c36-45,amale,b30000005999999,ahokkaido,adaily,apourover,drarely,cmatchalatte,atasteflavor,bprice,aatcafe,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,batmosphere,cjapanese,cjapanese,atop,bmid,atop
81,1,c36-45,bfemale,fprefernottosay,ekansai,adaily,apourover,enever,fnoresponse,knoresponse,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,aqualityofdrinks,eunsure,cjapanese,atop,atop,cbot
82,1,c36-45,bfemale,c60000008999999,ahokkaido,adaily,bdrip,drarely,ausucha,dhealthbenefits,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,atorelax,aqualityofdrinks,bglobal,cjapanese,bmid,bmid,bmid
83,1,a18-25,amale,b30000005999999,btohoku,adaily,apourover,drarely,ausucha,froutineritual,knoresponse,aatcafe,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,cservice,bglobal,cjapanese,atop,atop,atop
84,1,a18-25,amale,b30000005999999,ckanto,adaily,apourover,drarely,ausucha,froutineritual,knoresponse,eother,fnoresponse,fnoresponse,fnoresponse,drarely,dtotryanewdrink,batmosphere,bglobal,bglobal,bmid,cbot,dnoresponse
85,1,b26-35,amale,e12000000more,ckanto,adaily,bdrip,bseveraltimesaweek,cmatchalatte,froutineritual,knoresponse,bathome,aatcafe,cconveniencestore,dvendingmachines,bseveraltimesaweek,eoutofhabit,eother,bglobal,cjapanese,atop,atop,atop
86,1,a18-25,bfemale,aunder3000000,ckanto,bseveraltimesaweek,apourover,conceaweek,cmatchalatte,atasteflavor,cenergyboost,aatcafe,bathome,cconveniencestore,fnoresponse,conceaweek,eoutofhabit,cservice,bglobal,cjapanese,bmid,atop,bmid
87,1,c36-45,bfemale,aunder3000000,ckanto,adaily,apourover,drarely,ausucha,froutineritual,jother,aatcafe,eother,fnoresponse,fnoresponse,,atorelax,aqualityofdrinks,bglobal,cjapanese,atop,atop,bmid
88,1,a18-25,bfemale,fprefernottosay,ckanto,adaily,damericano,drarely,cmatchalatte,atasteflavor,cenergyboost,aatcafe,fnoresponse,fnoresponse,fnoresponse,adaily,eoutofhabit,batmosphere,dno,cjapanese,bmid,bmid,atop
89,1,a18-25,amale,c60000008999999,ckanto,bseveraltimesaweek,apourover,drarely,fnoresponse,atasteflavor,esocialatmosphere,bathome,aatcafe,fnoresponse,fnoresponse,bseveraltimesaweek,ctostudywork,batmosphere,dno,cjapanese,bmid,bmid,atop
90,1,b26-35,amale,b30000005999999,ckanto,drarely,hidontdrinkcoffee,bseveraltimesaweek,cmatchalatte,atasteflavor,itotrynewthings,aatcafe,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,eunsure,cjapanese,cbot,atop,bmid
91,1,d46-55,bfemale,fprefernottosay,jidonotliveinjapan,adaily,bdrip,enever,fnoresponse,froutineritual,bprice,fnoresponse,fnoresponse,fnoresponse,fnoresponse,enever,gnoresponse,fnoresponse,dno,cjapanese,dnoresponse,dnoresponse,dnoresponse
92,1,e56-65,amale,d900000011999999,ckanto,adaily,iother,drarely,eother,esocialatmosphere,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,atorelax,batmosphere,dno,cjapanese,atop,atop,atop
93,1,d46-55,bfemale,d900000011999999,ckanto,adaily,clatte,drarely,ausucha,atasteflavor,froutineritual,bathome,cconveniencestore,aatcafe,fnoresponse,enever,atorelax,batmosphere,dno,cjapanese,bmid,atop,atop
94,1,e56-65,bfemale,b30000005999999,ekansai,adaily,bdrip,drarely,eother,atasteflavor,froutineritual,aatcafe,bathome,fnoresponse,fnoresponse,bseveraltimesaweek,atorelax,batmosphere,dno,cjapanese,cbot,bmid,bmid
95,1,b26-35,amale,c60000008999999,ckanto,bseveraltimesaweek,clatte,conceaweek,didontdrinkcoffee,gbrandingimagery,atasteflavor,aatcafe,fnoresponse,fnoresponse,fnoresponse,bseveraltimesaweek,ctostudywork,batmosphere,bglobal,bglobal,bmid,bmid,cbot
96,1,c36-45,bfemale,c60000008999999,ekansai,bseveraltimesaweek,bdrip,drarely,cmatchalatte,jother,atasteflavor,bathome,cconveniencestore,fnoresponse,fnoresponse,drarely,ctostudywork,batmosphere,bglobal,cjapanese,bmid,cbot,bmid
97,1,f65more,amale,b30000005999999,ekansai,adaily,bdrip,drarely,eother,froutineritual,gbrandingimagery,bathome,fnoresponse,fnoresponse,fnoresponse,enever,fother,fnoresponse,awestern,cjapanese,bmid,bmid,cbot
98,1,c36-45,bfemale,c60000008999999,ckanto,bseveraltimesaweek,clatte,drarely,cmatchalatte,atasteflavor,bprice,aatcafe,eother,fnoresponse,fnoresponse,conceaweek,fother,batmosphere,dno,cjapanese,cbot,atop,bmid
99,1,d46-55,bfemale,e12000000more,ckanto,bseveraltimesaweek,clatte,drarely,bkoicha,atasteflavor,knoresponse,bathome,aatcafe,cconveniencestore,fnoresponse,drarely,ctostudywork,batmosphere,eunsure,cjapanese,atop,cbot,bmid
100,1,a18-25,amale,e12000000more,ckanto,bseveraltimesaweek,iother,enever,fnoresponse,jother,knoresponse,cconveniencestore,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,dno,cjapanese,bmid,bmid,atop
101,1,c36-45,amale,e12000000more,ekansai,adaily,bdrip,enever,fnoresponse,cenergyboost,atasteflavor,cconveniencestore,bathome,aatcafe,fnoresponse,conceaweek,ctostudywork,batmosphere,bglobal,cjapanese,bmid,cbot,atop
102,1,c36-45,amale,e12000000more,ckanto,adaily,bdrip,enever,fnoresponse,atasteflavor,knoresponse,bathome,cconveniencestore,fnoresponse,fnoresponse,enever,btomeetfriends,batmosphere,dno,cjapanese,bmid,atop,cbot
103,1,b26-35,amale,b30000005999999,ckanto,adaily,bdrip,enever,fnoresponse,froutineritual,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,drarely,ctostudywork,batmosphere,dno,cjapanese,bmid,bmid,bmid
104,1,b26-35,amale,d900000011999999,ckanto,conceaweek,clatte,conceaweek,ausucha,froutineritual,atasteflavor,bathome,cconveniencestore,fnoresponse,fnoresponse,drarely,fother,batmosphere,dno,cjapanese,cbot,bmid,cbot
105,1,d46-55,bfemale,e12000000more,ckanto,adaily,bdrip,drarely,didontdrinkcoffee,atasteflavor,esocialatmosphere,bathome,aatcafe,cconveniencestore,fnoresponse,drarely,btomeetfriends,batmosphere,dno,cjapanese,bmid,bmid,cbot
106,1,c36-45,amale,e12000000more,ckanto,adaily,bdrip,enever,fnoresponse,froutineritual,cenergyboost,bathome,fnoresponse,fnoresponse,fnoresponse,enever,fother,batmosphere,dno,cjapanese,atop,atop,cbot
107,1,c36-45,bfemale,e12000000more,ckanto,adaily,apourover,enever,fnoresponse,atasteflavor,knoresponse,bathome,cconveniencestore,fnoresponse,fnoresponse,drarely,atorelax,batmosphere,eunsure,cjapanese,cbot,bmid,bmid
108,1,a18-25,amale,c60000008999999,ckanto,adaily,bdrip,drarely,didontdrinkcoffee,jother,knoresponse,fnoresponse,fnoresponse,fnoresponse,fnoresponse,drarely,btomeetfriends,batmosphere,dno,cjapanese,bmid,bmid,bmid
109,1,f65more,amale,e12000000more,ckanto,drarely,hidontdrinkcoffee,drarely,didontdrinkcoffee,atasteflavor,knoresponse,bathome,fnoresponse,fnoresponse,fnoresponse,enever,gnoresponse,aqualityofdrinks,dno,cjapanese,atop,cbot,bmid
